id,name,eg_id,author,description,publisher,category,tags,quantity
1,[試して理解]Linuxのしくみ ~実験と図解で学ぶOSとハードウェアの基礎知識,EG000001,武内 覚,いまどきのOSのしくみが、実験と図解でわかる!,技術評論社,技術書,OS Linux,1
2,実践ハイパフォーマンスMySQL 第3版,EG000002,"Baron Schwartz (著), Peter Zaitsev (著), Vadim Tkachenko (著), 菊池 研自 (監修), 株式会社クイープ (翻訳)",新しい情報を盛り込み、信頼性や正確さといった目標を重視するという前版からの方針に加えて、第3版では、MySQLの動作の仕組みに関する事実だけでなく、MySQLがそのように動作する原理を伝えたいと考えて執筆されています。,オライリージャパン,技術書,RDB MySQL,1
3,オブジェクト指向設計実践ガイド ~Rubyでわかる 進化しつづける柔軟なアプリケーションの育て方,EG000003,"Sandi Metz (著), 髙山 泰基  (翻訳)","オブジェクト指向設計の名著として名高い“Practical Object-Oriented Design in Ruby""、待望の翻訳版! 使いこなせるようになるととても便利なオブジェクト指向ですが、「なんとなく」の理解で使っていると、大きな罠にかかってしまいます。\n本書は、保守性を上げて運用コストを下げるアプリケーションをつくるために、クラス設計から基本概念、継承のテクニック、ダックタイプ、そしてテスト設計まで、幅広くカバーしています。オブジェクト指向言語を使用するすべての人におすすめの1冊です。",技術評論社,技術書,Ruby オブジェクト指向,1
4,達人プログラマー―システム開発の職人から名匠への道,EG000004,"アンドリュー ハント (著), デビッド トーマス (著), Andrew Hunt (原著)",経験に裏打ちされたヒントを満載し、実践可能なプログラムの作り方を教える。より効率的、そして生産的なプログラマーを目指す人に向け、具体的なアドバイスを、解決策のシステムを構成するよう関連付けて編集。,ピアソンエデュケーション,技術書,プログラミング,1
5,リーダブルコード ―より良いコードを書くためのシンプルで実践的なテクニック (Theory in practice),EG000005,"Dustin Boswell (著), Trevor Foucher (著), 須藤 功平 (解説), 角 征典  (翻訳)",「美しいコードを見ると感動する。優れたコードは見た瞬間に何をしているかが伝わってくる。そういうコードは使うのが楽しいし、\n自分のコードもそうあるべきだと思わせてくれる。本書の目的は、君のコードを良くすることだ」(本書「はじめに」より)。\n\nコードは理解しやすくなければならない。本書はこの原則を日々のコーディングの様々な場面に当てはめる方法を紹介します。\n名前の付け方、コメントの書き方など表面上の改善について。コードを動かすための制御フロー、論理式、変数などループとロジックについて。\nまたコードを再構成するための方法。さらにテストの書き方などについて、楽しいイラストと共に説明しています。\n\n日本語版ではRubyやgroongaのコミッタとしても著名な須藤功平氏による解説を収録。,オライリージャパン,技術書,プログラミング,1
6,Webを支える技術 -HTTP、URI、HTML、そしてREST (WEB+DB PRESS plus),EG000006,山本 陽平  (著),"Webは誕生から20年で爆発的な普及を果たし,17億人のユーザと2億台のサーバを抱える巨大システムへと成長しました。Webがここまで成功した秘密は,その設計思想,いわゆるアーキテクチャにあります。Webのアーキテクチャ,そしてHTTP,URI,HTMLといったWebを支える技術は,Webがどんなに巨大化しても対応できるように設計されていたのです。\n私たちが作る個々のWebサービスも,Webのアーキテクチャにのっとることで成功へとつながります。Webのアーキテクチャに正しく適応したWebサービスは,情報が整理され,ユーザの使い勝手が向上し,ほかのサービスと連携しやすくなり,将来的な拡張性が確保されるからです。\n本書のテーマは,Webサービスの実践的な設計です。まずHTTPやURI,HTMLなどの仕様を歴史や設計思想を織り交ぜて解説します。そしてWebサービスにおける設計課題,たとえば望ましいURI,HTTPメソッドの使い分け,クライアントとサーバの役割分担,設計プロセスなどについて,現時点のベストプラクティスを紹介します。",技術評論社,技術書,インフラ,1
7,マイクロサービスアーキテクチャ,EG000007,"Sam Newman  (著), 佐藤 直生 (監修), 木下 哲也 (翻訳)",マイクロサービスとは、ThoughtWorks社のマーチン・ファウラーとジェームス・ルイスが最初に提唱したソフトウェアアーキテクチャです。\nモノリシック(一枚岩)なアーキテクチャを、ビジネス機能に沿って複数の小さい「マイクロサービス」に分割し、それらを連携させるアーキテクチャにすることで、迅速なデプロイ、優れた回復性やスケーラビリティといった利点を実現しようとするものです。\n本書は、マイクロサービスとは何か、その長所と短所、定義と概念、設計思想、アーキテクトの役割から、分割、デプロイ、テスト、監視、セキュリティといった個別の技術までを、マイクロサービスを採用しているNetflixやAmazonといった企業の事例を交えながら紹介します。\nこれからますます普及が期待されるマイクロサービスについて深く理解できる一冊です。,オライリージャパン,技術書,マイクロサービスアーキテクチャ,1
8,Web API: The Good Parts,EG000008,水野 貴明  (著),Web APIの設計、開発、運用についての解説書。\nAPIは設計次第で使いづらいものになるだけではなく、公開後の保守運用も難しくなってしまいます。\nそのためAPIを美しく設計することがとても重要です。\n本書では「設計の美しいAPIは、使いやすい、変更しやすい、頑強である、恥ずかしくない」という考えのもと、\nAPIをどのように設計し運用すればより効果的なのか、ありがちな罠や落とし穴を避けるにはどういう点に気をつけなければいけないのかを明らかにします。\nターゲットは、URIにアクセスするとXMLやJSONなどのデータが返ってくるシンプルなタイプ――XML over HTTP方式やJSON over HTTP方式――のAPIです。\n読者は、Web API設計の考え方と手法を知ることができます。,オライリージャパン,技術書,WebAPI,1
9,ネットワークはなぜつながるのか 第2版 知っておきたいTCP/IP、LAN、光ファイバの基礎知識,EG000009,"戸根 勤  (著), 日経NETWORK (監修)",●『ネットワークはなぜつながるのか』５年ぶり、待望の改訂第2版！\n\nブラウザにURLを入力してからWebページが表示されるまでの道筋をたどりながら、その裏側で働くTCP/IP、LAN、光ファイバなどの技術を説明していきます。インターネットを通ってサーバーまで行って帰ってくる道筋の途中には、今のネットワークの主要な技術要素が全部あります。そこでの機器やソフトウエアがどのように動き連携しているのかを探検すればネットワーク全体の動きがわかります。\n\n第2版では、全体の構成を見直し、探検の途中で、今、ネットワークのどの部分にいるのかを明確にしました。また、各技術の基本的な考え方や成り立ちなど、基礎的な解説を大幅に増やしたほか、個別の補足説明も注釈として多く取り入れています。大事な点は「要約」としてまとめ、読んで記憶に残るようにしました。初心者の方も、基本的なところからきちんと理解して読み進めてもらえます。\n\n特徴1：ネットワークの全体の動きがわかる“探検ツアー”\n本書は、ブラウザにURLを入力してから、サーバーがWebページの情報を返信してくるまでの過程を順番に追っていくというユニークな構成です。入力されたデータがパケットとなって、LAN、ハブ、ルーターを通り、プロバイダの回線を抜け、ファイアウォールをくぐり、次の行き先を探りながらゴールのWebサーバーを目指して、さまざまに姿を変えながら進んでいく様子を追うことで、個別技術を見ているだけではわからない、“現実の”動きがわかります。\n\n特徴2：２大技術TCP/IP、LANが確実に理解できる！\nIPアドレス、ネットマスク、デフォルト・ゲートウエイなどはパソコンのTCP/IPの設定で目にしますし、家庭内LANも普及してMACアドレスという言葉も身近になりました。「イメージとしてはなんとなくわかる」これらの用語が、現実の機器とソフトウエアがどうように動くかを知ることで、本質からきちんと理解できます。\n\n特徴3：最先端の光ファイバの中身ものぞいてみよう！\nインターネットの普及で、家庭とプロバイダをつなぐアクセス回線の技術も進んでいます。ADSLでの信号化の技術や伝送方法、光ファイバが高速化できている仕組みなどをくわしく解説しています。,日経BP,技術書,インフラ ネットワーク,1
10,Amazon Web Services 基礎からのネットワーク&サーバー構築 改訂版,EG000010,"玉川憲  (著), 片山暁雄  (著), 今井雄太 (著), 大澤文孝 (著)",AWSを実機代わりにインフラ技術が学べる!\n「自分でネットワークやサーバーを構築できるようになる」。\nこれが本書の目的です。\n新しいものを学習するとき、実際にやってみるのが一番。従来は物理機器がないと学べませんでしたが、今はクラウドがあります。\n本書は、代表的なクラウドサービス「Amazon Web Services」を実機代わりにネットワークを学び直す、をコンセプトにまとめた1冊です。\n\n改訂版では、初版のコンセプトをそのままに、画面を最新バージョンに差し替えたほか、CHAPTER 7「NAT」を書き直しました。\n初版では「NATインスタンス」を使って説明していましたが、今後AWSでは「NATゲートウエイ」が主流になることから、NATゲートウエイを使った内容に修正しています。\n\nインフラを学びたい若手技術者にも、インフラを学び直したいアプリ開発者にもオススメです。\n\n\n◆目次◆\n【Contents】\nCHAPTER 1 システム構築をインフラから始めるには\nCHAPTER 2 ネットワークを構築する\nCHAPTER 3 サーバーを構築する\nCHAPTER 4 Webサーバーソフトをインストールする\nCHAPTER 5 HTTPの動きを確認する\nCHAPTER 6 プライベートサブネットを構築する\nCHAPTER 7 NATを構築する\nCHAPTER 8 DBを用いたブログシステムの構築\nCHAPTER 9 TCP/IPによる通信の仕組みを理解する\nAppendix A パケットキャプチャで通信をのぞいてみる\nAppendix B ネットワークの管理・運用とトラブルシューティング,日経BP,技術書,AWS インフラ クラウド,1
